#separator:pipe
#html:true
#deck:sonaveeb-b1-deck
#columns:front|frontExamples|frontWordForms|back
mõrv|<ol><li>teise inimese tahtlik tapmine eriti julmal viisil, raske isikuvastane kuritegu,teise inimese teadlik ja kavatsetud tapmine<br><ul><li>Baaris toimus kaklusi ja isegi mõrv.</li><li>Mis on mõrva motiivid?</li><li>Teda süüdistatakse mõrvas.</li><li>Ta sattus pealt nägema hirmsat mõrva.</li><li>Mees on kindel, et õnnetusjuhtumi taga peitub tegelikult külmavereline mõrv.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>mõrv</td><td>mõrvad</td></tr><tr><td>omas</td><td>mõrva</td><td>mõrvade</td></tr><tr><td>osas</td><td>mõrva</td><td>mõrvu,mõrvasid</td></tr><tr><td>lüh sütl</td><td>mõrva</td><td></td></tr></tbody></table>|<ol><li>убийство, мокруха, <span style="opacity: 0.5294117647058824">душегубство</span>, <span style="opacity: 0.5294117647058824">убийство</span>, <span style="opacity: 0.5294117647058824">убийство</span></li></ol>
mõrvar|<ol><li>inimene, kes teise inimese tahtlikult tapab, mõrva sooritaja,inimene, kes on sooritanud mõrva<br><ul><li>Politsei tabas mõrvari.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>mõrvar</td><td>mõrvarid</td></tr><tr><td>omas</td><td>mõrvari</td><td>mõrvarite</td></tr><tr><td>osas</td><td>mõrvarit</td><td>mõrvareid</td></tr><tr><td>lüh sütl</td><td>-</td><td></td></tr></tbody></table>|<ol><li>убийца, душегуб, человекоубийца, душегубка, <span style="opacity: 0.5294117647058824">убийца</span></li></ol>
mõttetu|<ol><li>aruka mõtteta, selline, mida ei maksa teha,ilma aruka mõtteta, tähenduseta<br><ul><li>Sinuga vaidlemine on mõttetu tegevus.</li><li>Aasta lõpus tehakse palju mõttetuid kulutusi.</li><li>Edasikaebamine oleks mõttetu.</li><li>See on mõttetu vaidlus.</li><li>Ära tee mõttetuid kulutusi.</li></ul><li>(jutu, teksti kohta:) tähenduseta, loogilise seoseta<br><ul><li>Mõttetu sonimine.</li></ul><li>(tühiseks peetava inimese, tobedana tunduva teose vm kohta)<br><ul><li>Tal on täiesti mõttetu mees.</li><li>Sattusin vaatama mingit mõttetut filmi.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>mõttetu</td><td>mõttetud</td></tr><tr><td>omas</td><td>mõttetu</td><td>mõttetute</td></tr><tr><td>osas</td><td>mõttetut</td><td>mõttetuid</td></tr><tr><td>lüh sütl</td><td>-</td><td></td></tr></tbody></table>|<ol><li>бессмысленный, бесполезный, никчёмный, <span style="opacity: 0.5294117647058824">абсурдный</span>, <span style="opacity: 0.5294117647058824">нелепый</span></li><li>бессмысленный, нелепый, несуразный, <span style="opacity: 0.5294117647058824">идиотский</span>, <span style="opacity: 0.5294117647058824">малосведущий</span></li><li><span style="opacity: 0.5294117647058824">глупый</span>, <span style="opacity: 0.5294117647058824">несообразный</span>, <span style="opacity: 0.5294117647058824">бредовый</span>, <span style="opacity: 0.5294117647058824">несуразный</span>, <span style="opacity: 0.5294117647058824">дурацкий</span></li></ol>
mõõde|<ol><li>maa-ala, ruumi või eseme pikkus, laius, kõrgus vm mõõdetav ulatus,eseme või ruumi suurust iseloomustav näitaja, näiteks pikkus, laius või kõrgus<br><ul><li>Väljaku mõõtmed on 8 × 16 m.</li><li>Ruumil on kolm mõõdet.</li><li>Minimalistlike mõõtmetega auto.</li><li>Ei ole küll paks telefon, kuid mõõtmetelt ikka väga suur.</li><li>Kehamõõtmed.</li><li>Auto mõõtmed on 4 × 1,8 × 1,3 meetrit.</li></ul><li>vajalik koordinaatide arv punkti asendi määramiseks ruumis või kujundis (nt joone mõõde on 1, pinna mõõde 2)<br><ul></ul><li>(mõju- või tegevusvälja kohta:) ulatus, haare,ulatus<br><ul><li>Gripp ähvardab võtta epideemia mõõtmed.</li><li>Taotluste hindamisel arvestatakse ka projekti euroopalikku mõõdet.</li><li>Üleujutus on võtnud katastroofi mõõtmed.</li></ul><li>nähtuse vm üks külg või vaatenurk<br><ul><li>Inimelu religioosne mõõde.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>mõõde</td><td>mõõtmed</td></tr><tr><td>omas</td><td>mõõtme</td><td>mõõtmete</td></tr><tr><td>osas</td><td>mõõdet</td><td>mõõtmeid</td></tr><tr><td>lüh sütl</td><td>-</td><td></td></tr></tbody></table>|<ol><li>размер, размерность, <span style="opacity: 0.5294117647058824">измерение</span>, <span style="opacity: 0.5294117647058824">размер</span>, <span style="opacity: 0.5294117647058824">мерка</span></li><li>измерение</li><li>размеры, масштаб, <span style="opacity: 0.5294117647058824">измерение</span>, <span style="opacity: 0.5294117647058824">площадь</span>, <span style="opacity: 0.5294117647058824">численность</span></li><li><span style="opacity: 0.4117647058823529">аспект</span>, <span style="opacity: 0.4117647058823529">точка зрения</span>, <span style="opacity: 0.4117647058823529">сторона</span>, <span style="opacity: 0.4117647058823529">мнение</span>, <span style="opacity: 0.4117647058823529">взгляд</span></li></ol>
mõõdukas|<ol><li>keskmine, äärmuste vahepeale jääv, nt mitte liiga suur ega liiga väike või vähene<br><ul><li>Mõõduka tasu eest saab merel väikese lõbusõidu teha.</li><li>Vägijookidega tuleks mõõdukat joont hoida.</li><li>Mõõdukas liberalism.</li></ul><li>(inimese kohta:) mõõtu pidav, liialdusi ja äärmusi vältiv,mitte liialdav,keskmine, paras<br><ul><li>Mõõdukas alkoholitarbija.</li><li>Mõõdukad moslemid.</li><li>Jooksin mõõduka tempoga.</li></ul><li>endise Rahvaerakonna Mõõdukad (1999–2004) liige<br><ul></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>mõõdukas</td><td>mõõdukad</td></tr><tr><td>omas</td><td>mõõduka</td><td>mõõdukate</td></tr><tr><td>osas</td><td>mõõdukat</td><td>mõõdukaid</td></tr><tr><td>lüh sütl</td><td>-</td><td></td></tr></tbody></table>|<ol><li>умеренный, сдержанный, воздержанный, <span style="opacity: 0.5294117647058824">заурядный</span>, <span style="opacity: 0.5294117647058824">неважный</span></li><li>умеренный, сдержанный, воздержанный, <span style="opacity: 0.5294117647058824">тактичный</span>, <span style="opacity: 0.5294117647058824">деликатный</span></li><li></li></ol>
mõõk|<ol><li>pika kitsa tera ja käepidemega relv raiumiseks või torkamiseks, endisajal lähivõitlusrelvana, tänapäeval tseremoniaal- ja sportrelvana,relv, mis näeb välja nagu väga pikk terav nuga<br><ul><li>Ratsanik tõmbas tupest mõõga.</li><li>Kaardiväelaste käes helkisid mõõgad.</li><li>Kaheteraline mõõk.</li><li>Nad võitlesid mõõkadega.</li></ul><li>(relvajõu, vägivalla kohta)<br><ul><li>Demokraatiat mõõgaga ei õpeta.</li></ul><li>kujult seda relva meenutav tööriist<br><ul><li>Linu ropsiti puust mõõgaga.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>mõõk</td><td>mõõgad</td></tr><tr><td>omas</td><td>mõõga</td><td>mõõkade</td></tr><tr><td>osas</td><td>mõõka</td><td>mõõku,mõõkasid</td></tr><tr><td>lüh sütl</td><td>mõõka</td><td></td></tr></tbody></table>|<ol><li>меч, шпага, сабля, палаш, шашка</li><li>меч, <span style="opacity: 0.4117647058823529">насилие</span>, <span style="opacity: 0.4117647058823529">диктовка</span>, <span style="opacity: 0.4117647058823529">принуждение</span>, <span style="opacity: 0.4117647058823529">необходимость</span></li><li></li></ol>
mõõtma|<ol><li>arvulist suurust, mahtu või hulka (mingi mõõtevahendi abil) kindlaks määrama,millegi suurust, mahtu või hulka (vastava seadme abil) leidma<br><ul><li>Vererõhku mõõtma.</li><li>Müra mõõdetakse detsibellides.</li><li>Pärnu lahes mõõdeti jää paksust.</li><li>Mida see aparaat mõõdab?</li></ul><li>mõõdu järgi, teatud mõõduga eraldama, andma või jagama<br><ul><li>Mõõda piim ja suhkur keedunõusse.</li></ul><li>võimet, väärtust, seisundit vms teatud näitaja(te) alusel hindama<br><ul><li>Keeleoskust on aineteadmistest kergem mõõta.</li><li>Kõike ei saa rahas mõõta.</li><li>Kuidas mõõta armastust?</li></ul><li>millegi mõõdupuuks, hindamise aluseks olema<br><ul><li>Edu mõõdab seda, kui hästi on inimene oma eesmärgid saavutanud.</li></ul><li>hindavalt silmitsema,silmitsedes hindama<br><ul><li>Boss mõõtis mind pika pilguga.</li><li>Aeg-ajalt pead pöörates mõõtis ta kaugust jälitajatega.</li></ul><li>korduvalt teatud vahemaad läbima või edasi-tagasi liikuma<br><ul><li>Mäletan aegu, mil neid tänavaid mõõtsin lapsevankrit lükates.</li></ul></ol>|<table><thead><tr><th>-ma</th><th>-da</th><th>-n</th></tr></thead><tbody><tr><td>mõõtma</td><td>mõõta</td><td>mõõdan</td></tr></tbody></table>|<ol><li>мерить, измерять, измерить, замеривать, замерять</li><li>отмеривать, отмерить, отмерять</li><li><span style="opacity: 0.48147058823529415">оценивать</span>, <span style="opacity: 0.48147058823529415">оценить</span></li><li></li><li>оглядывать, оглядеть, мерить глазами, обмеривать глазами, обмерить глазами</li><li>мерить, измерить, отмеривать, отмерять, отмерить</li></ol>
mäda|<ol><li>põletiku tagajärjel tekkiv kollakas vedelik, mis sisaldab mikroobe, valgeid vereliblesid ja lõhustatud koeosi,paks kollane vedelik, mis tekib haavas, kui seal on põletik<br><ul><li>Salv tõmbab paisest mäda välja.</li><li>Kõrvast tuli mäda.</li></ul><li>(viljade, puidu vms kohta:) mädanemise või pehkimise märkidega<br><ul><li>Mädasid õunu ei maksa komposti panna.</li><li>Ta müüs mäda kartulit kvaliteetse pähe.</li><li>Mõned seinapalgid on täitsa mädad.</li></ul><li>(millegi olemuse, mingi asjaolu vm kohta:) selline, kus miski on moraalses mõttes valesti, mitte nii, nagu olema peaks<br><ul><li>Kogu süsteem on mäda.</li><li>Midagi on selles loos mäda.</li></ul><li>(pinnase kohta:) pehme, soine<br><ul><li>Järvel on mäda põhi.</li><li>Ta ütles pärast rabaretke, et tema enam mäda maa peale ei lähe.</li></ul><li>selline koht pinnases<br><ul><li>Siin olevat hobune mädasse vajunud.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>mäda</td><td>mädad</td></tr><tr><td>omas</td><td>mäda</td><td>mädade</td></tr><tr><td>osas</td><td>mäda</td><td>mädasid</td></tr><tr><td>lüh sütl</td><td>-</td><td></td></tr></tbody></table>|<ol><li>гной</li><li>гнилой, <span style="opacity: 0.4117647058823529">тухлый</span>, <span style="opacity: 0.4117647058823529">протухший</span>, <span style="opacity: 0.4117647058823529">подгнивший</span>, <span style="opacity: 0.4117647058823529">протухший</span></li><li>гнилой, <span style="opacity: 0.4117647058823529">сомнительный</span>, <span style="opacity: 0.4117647058823529">подозрительный</span>, <span style="opacity: 0.4117647058823529">внушающий подозрение</span>, <span style="opacity: 0.4117647058823529">не внушающий доверия</span></li><li>вязкий, трясинный, топкий, <span style="opacity: 0.5294117647058824">мягкий</span>, <span style="opacity: 0.5294117647058824">заболоченный</span></li><li>топь, топкое место, вязкое место, болотина, вязь</li></ol>
mädarõigas|<ol><li>suurte kergelt lainelistega lehtedega köögiviljataim, mille teravamaitselist juurt kasutatakse maitseainena,pika valge juurega taim, millel on väga tugev maitse<br><ul><li>Iseloomuliku vürtsika lõhna ja maitsega mädarõigas kasvas kunagi igas taluaias.</li><li>Mädarõigas on terava maitsega.</li><li>Mulle mädarõigas eriti ei maitse.</li></ul><li>aed-mädarõika terava maitsega juur maitseainena<br><ul><li>Ostsin külakostiks Tallinna kilu, Põltsamaa sinepit, mädarõigast ja Eesti heeringat.</li><li>Hautatud haug mädarõikaga.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>mädarõigas</td><td>mädarõikad</td></tr><tr><td>omas</td><td>mädarõika</td><td>mädarõigaste</td></tr><tr><td>osas</td><td>mädarõigast</td><td>mädarõikaid</td></tr><tr><td>lüh sütl</td><td>-</td><td></td></tr></tbody></table>|<ol><li>хрен, деревенский хрен, обыкновенный хрен</li><li></li></ol>
mälestus|<ol><li>mällu jäänud, mälus talletunud elamus või taju,see, mida sa minevikust mäletad<br><ul><li>Lapsepõlvest on mul head mälestused.</li><li>Purunenud armastusest jääb mälestus igaveseks.</li><li>Minevikumälestus.</li><li>Noorusmälestus.</li><li>Mul on lapsepõlvest head mälestused.</li><li>Reisist jäi tore mälestus.</li><li>Kinkisin talle mälestuseks oma pildi.</li></ul><li>(mäletamise, meeles olemise kohta)<br><ul><li>Sugulaste mälestuse järgi müünud Tiidrik töökoja ära ja ostnud maale maja.</li></ul><li>(austav) meelespidamine, -hoidmine,kui midagi tehakse surnu <eki-highlight>mälestuseks</eki-highlight>, siis teda tuletatakse austusega meelde<br><ul><li>Leinateenistus lennuõnnetuse ohvrite mälestuseks.</li><li>Laul on pühendatud Kaspari mälestusele.</li><li>Kokkusaamise mälestuseks istutasid vennad tamme.</li><li>Süütasime küünlad kadunute mälestuseks.</li></ul><li>see, mis on saadud, säilitatud või säilinud meenutamaks midagi või kedagi<br><ul><li>Vana harmoonium on mälestus kodumajast.</li><li>Laps oli ainus mälestus mehest, kellele naine oli rajanud suuri lootusi.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>mälestus</td><td>mälestused</td></tr><tr><td>omas</td><td>mälestuse</td><td>mälestuste</td></tr><tr><td>osas</td><td>mälestust</td><td>mälestusi</td></tr><tr><td>lüh sütl</td><td>mälestusse</td><td></td></tr></tbody></table>|<ol><li>воспоминание, память, <span style="opacity: 0.5294117647058824">воспоминания</span></li><li>память, <span style="opacity: 0.5294117647058824">память</span>, <span style="opacity: 0.5294117647058824">воспоминания</span>, <span style="opacity: 0.5294117647058824">картина воспоминаний</span>, <span style="opacity: 0.5294117647058824">запечатлевшаяся в памяти картина жизни</span></li><li>память, <span style="opacity: 0.5294117647058824">запоминание</span>, <span style="opacity: 0.5294117647058824">вспоминание</span>, <span style="opacity: 0.5294117647058824">припоминание</span>, <span style="opacity: 0.4117647058823529">вспоминание</span></li><li>память, <span style="opacity: 0.4117647058823529">памятник</span>, <span style="opacity: 0.3929411764705883">памятная вещь</span>, <span style="opacity: 0.3929411764705883">сувенир</span>, <span style="opacity: 0.3929411764705883">памятка</span></li></ol>
mälestusmärk|<ol><li>isiku auks või sündmuse mälestuseks püstitatud skulptuur või ehitis,kuju, mis on kuskile pandud millegi või kellegi mälestuseks<br><ul><li>Vabadussõja mälestusmärgid.</li></ul><li>(ajaloolise, kultuuriloolise väärtusega objekti kohta)<br><ul><li>Turu Toomkirikut peetakse Soome väärtuslikemaks ehitusajalooliseks mälestusmärgiks.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>mälestusmärk</td><td>mälestusmärgid</td></tr><tr><td>omas</td><td>mälestusmärgi</td><td>mälestusmärkide</td></tr><tr><td>osas</td><td>mälestusmärki</td><td>mälestusmärke,mälestusmärkisid</td></tr><tr><td>lüh sütl</td><td>mälestusmärki</td><td></td></tr></tbody></table>|<ol><li>монумент, памятник, <span style="opacity: 0.5294117647058824">монумент</span>, <span style="opacity: 0.5294117647058824">памятник</span>, <span style="opacity: 0.5294117647058824">мемориальный камень</span></li><li>монумент, памятник, памятный знак, <span style="opacity: 0.5">памятник</span></li></ol>
mälupulk|<ol><li>pulgakujulise korpusega väike andmekandja, mis võimaldab USB-liidese kaudu kanda andmeid ühest arvutist teise,väike seade, mis võimaldab kanda andmeid ühest arvutist teise<br><ul><li>Salvestasin faili mälupulgale.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>mälupulk</td><td>mälupulgad</td></tr><tr><td>omas</td><td>mälupulga</td><td>mälupulkade</td></tr><tr><td>osas</td><td>mälupulka</td><td>mälupulki,mälupulkasid</td></tr><tr><td>lüh sütl</td><td>mälupulka</td><td></td></tr></tbody></table>|<ol><li>флешка, флеш-накопитель, USB-флеш-накопитель</li></ol>
mänd|<ol><li>peamiselt põhjaparasvöötme igihaljas okaspuu, Eestis hrl kahekaupa kimbus paiknevate pikkade okaste, paksukorbalise tüve ja keraja lühikese võraga puu,teatud liiki puu, millel on pikad okkad<br><ul><li>Sihvakad männid seisavad harvaesinevas tuulevaikuses.</li><li>Kevadtormiga murdus kolm suurt mändi.</li><li>Vanahärra elab Nõmme mändide all asuvas majas.</li><li>Mere ääres kasvavad kõrged männid.</li></ul><li>männipuupuit materjalina,see puu materjalina<br><ul><li>Kõverast männist raiuti kaared laeva kere sisse.</li></ul></ol><ol><li>endisaegne toitude segamise või kloppimise vahend, mis tehakse hrl noorest männipuust nii, et tööosaks jääb tüügasteks lõigatud okstega osa<br><ul><li>Võimänd.</li></ul><li>korrapärase kaheksanurga kujuline, hrl risti-, tähe- vm kujunditega täidetud kujutis kaunistustes ja rahvakunstis<br><ul><li>Männa mustriga kruus.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>mänd</td><td>männid</td></tr><tr><td>omas</td><td>männi</td><td>mändide</td></tr><tr><td>osas</td><td>mändi</td><td>mände,mändisid</td></tr><tr><td>lüh sütl</td><td>mändi</td><td></td></tr></tbody></table><table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>mänd</td><td>männad</td></tr><tr><td>omas</td><td>männa</td><td>mändade</td></tr><tr><td>osas</td><td>mända</td><td>mändi,mändasid</td></tr><tr><td>lüh sütl</td><td>mända</td><td></td></tr></tbody></table>|<ol><li>сосна, <span style="opacity: 0.5294117647058824">сосна</span></li><li>сосна, сосновая древесина, древесина сосны</li></ol><ol><li>мутовка</li><li><span style="opacity: 0.4117647058823529">восьмилучевая звезда</span></li></ol>
mänguväljak|<ol><li>lastele mängimiseks ette nähtud ala (hrl kiikede, turnimisrajatiste ja muuga),spetsiaalne ala, kus lapsed saavad näiteks liivakastis mängida, kiikuda ja ronida<br><ul><li>Lastemänguväljak.</li><li>Pargis on mitu mänguväljakut.</li></ul><li>(jalgpalli-, korvpalli-, tennise- vms väljaku kohta)<br><ul></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>mänguväljak</td><td>mänguväljakud</td></tr><tr><td>omas</td><td>mänguväljaku</td><td>mänguväljakute</td></tr><tr><td>osas</td><td>mänguväljakut</td><td>mänguväljakuid</td></tr><tr><td>lüh sütl</td><td>-</td><td></td></tr></tbody></table>|<ol><li>детская площадка, игровая площадка</li><li>спортивная площадка, <span style="opacity: 0.4117647058823529">поле</span>, <span style="opacity: 0.4117647058823529">площадка</span></li></ol>
märgatavalt|<ol><li>tähelepandaval määral, üsna suurel määral,sel määral, mida kohe märkab, tähele paneb<br><ul><li>Ilm on märgatavalt paranenud.</li><li>Riia on märgatavalt kallim linn kui Tallinn.</li><li>Hinnad on märgatavalt tõusnud.</li></ul></ol>||<ol><li>заметно, значительно, гораздо, несравненно, намного</li></ol>
märkima|<ol><li>tähistamiseks kuhugi või millelegi märki tegema või panema,mingit märki või sümbolit kuhugi kirjutama, panema<br><ul><li>Soovitud tooted märkige linnukesega.</li><li>Raja algus ja lõpp on märgitud lipukestega.</li><li>Saagimisjooned on hõlbus toorikule märkida šablooni järgi.</li><li>Hind on märgitud raamatu kaanele.</li><li>Õpetaja märgib puudumised päevikusse.</li><li>Märgi õige vastus ristiga.</li></ul><li>peamiselt infot või infoks kirja panema, (üles) kirjutama<br><ul><li>Tema sünnikohaks on siin märgitud Taebla.</li><li>Enne liimi kasutamist tutvuge pakendile märgitud juhtnööridega.</li></ul><li>väärtpaberite ostu soovi avaldama (ostuõiguse saamiseks),väärtpabereid ostma<br><ul><li>Laevafirma aktsiaid märkis rekordarv eestlasi.</li></ul><li>mingit sündmust millegagi tähistama<br><ul><li>Jällenägemist märgiti klaasikese konjakiga.</li></ul><li>tähiseks, märgiks olema, nii midagi väljendama või tähistama,millegi tunnuseks olema, millestki tunnistust andma<br><ul><li>Täht märgib häälikut või häälikuühendit.</li><li>Kunagist talukohta märgib veel ainult vana õunapuu.</li><li>Värsikogu märkis uue ajajärgu algust Eesti luules.</li></ul><li>lühidalt ütlema, (nentivalt) mainima,märkust tegema, mainima<br><ul><li>Minister märkis, et ettevõtte saatus ei ole veel otsustatud.</li><li>Avalduses märgiti, et president üritusel ei osale.</li></ul></ol>|<table><thead><tr><th>-ma</th><th>-da</th><th>-n</th></tr></thead><tbody><tr><td>märkima</td><td>märkida</td><td>märgin</td></tr></tbody></table>|<ol><li>отмечать, отметить, помечать, пометить, метить</li><li><span style="opacity: 0.5294117647058824">записывать</span>, <span style="opacity: 0.5294117647058824">записать</span>, <span style="opacity: 0.5294117647058824">записывать</span>, <span style="opacity: 0.5294117647058824">записать</span>, <span style="opacity: 0.5294117647058824">записать</span></li><li><span style="opacity: 0.5294117647058824">записывать</span>, <span style="opacity: 0.5294117647058824">записать</span></li><li>отмечать, отметить, <span style="opacity: 0.5294117647058824">отмечать</span>, <span style="opacity: 0.5294117647058824">отметить</span>, <span style="opacity: 0.5294117647058824">справлять</span></li><li>означать, обозначать, обозначить, отмечать, отметить</li><li>отмечать, отметить, замечать, заметить, <span style="opacity: 0.5294117647058824">проговорить</span></li></ol>
märkus|<ol><li>lühike suuline või kirjalik selgitus või arvamusavaldus,lühike suuline või kirjalik selgitus, kommentaar<br><ul><li>Juhendaja märkustest oli palju abi.</li><li>Joonealune märkus.</li><li>Autor on tänulik kõigi asjakohaste märkuste eest.</li><li>Kolleeg pillas esineja kohta paar sapist märkust.</li><li>Tänan teid asjalike märkuste eest!</li><li>Ta tegi ettekande kohta paar olulist märkust.</li></ul><li>etteheide, noomitus või hoiatus eksimuse, ebakohase käitumise eest,suuline või kirjalik etteheide mingi eksimuse pärast<br><ul><li>Inspektor piirdus suulise märkusega.</li><li>Kirjuta märkusi e-kooli või poisi päevikusse, midagi ei muutu.</li><li>Õpilane sai puudumise pärast märkuse.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>märkus</td><td>märkused</td></tr><tr><td>omas</td><td>märkuse</td><td>märkuste</td></tr><tr><td>osas</td><td>märkust</td><td>märkusi</td></tr><tr><td>lüh sütl</td><td>märkusse</td><td></td></tr></tbody></table>|<ol><li>замечание, примечание, выноска, заметка, <span style="opacity: 0.5294117647058824">уведомление</span></li><li>замечание, <span style="opacity: 0.5294117647058824">внушение</span>, <span style="opacity: 0.5294117647058824">выговор</span>, <span style="opacity: 0.5294117647058824">порицание</span>, <span style="opacity: 0.5294117647058824">нарекание</span></li></ol>
mäss|<ol><li>vastuhakk (riigi)võimule (hrl selle vägivaldseks vääramiseks), millega kaasneb materiaalsete väärtuste häving,rahva üritus oma valitsust või juhti jõudu kasutades kukutada<br><ul><li>Puhkes valitsusvastane mäss, mis viis suure verevalamiseni.</li><li>Vangide mäss.</li></ul><li>(tunnete, mõtete vms tormlemise kohta)<br><ul><li>Talitsemata kirgede mäss.</li><li>Turniiri ajal käib suur sohitegemine ja tunnete mäss.</li></ul><li>(loodusjõudude märatsuse kohta)<br><ul><li>Lainete mäss rauges.</li><li>Tuul alanes peale kolmepäevast mässu.</li></ul><li>äge protest, äge nõusolematuse avaldamine,see, kui palju inimesi vaidleb millelegi vastu, ei ole millegagi nõus<br><ul><li>Luuletaja esikkogu iseloomustab mäss üldise konformismi ja mõttelaiskuse vastu.</li><li>Mu õiglustunne tõstis mässu.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>mäss</td><td>mässud</td></tr><tr><td>omas</td><td>mässu</td><td>mässude</td></tr><tr><td>osas</td><td>mässu</td><td>mässe,mässusid</td></tr><tr><td>lüh sütl</td><td>mässu</td><td></td></tr></tbody></table>|<ol><li>бунт, мятеж, <span style="opacity: 0.5294117647058824">битва</span>, <span style="opacity: 0.5294117647058824">война</span>, <span style="opacity: 0.5294117647058824">восстание</span></li><li>бушевание, <span style="opacity: 0.5294117647058824">свирепость</span>, <span style="opacity: 0.5294117647058824">остервенение</span>, <span style="opacity: 0.5294117647058824">ярость</span>, <span style="opacity: 0.5294117647058824">бешенство</span></li><li>бушевание, <span style="opacity: 0.4117647058823529">бесчинство</span>, <span style="opacity: 0.4117647058823529">буйство</span>, <span style="opacity: 0.4117647058823529">буянство</span>, <span style="opacity: 0.4117647058823529">дебоширство</span></li><li>бунт, мятеж, <span style="opacity: 0.4117647058823529">протест</span></li></ol>
määr|<ol><li>(mitmesugustes hulka, kogust, ulatust väljendavates ühendites)<br><ul><li>See ei huvita mind vähimalgi määral.</li><li>Kompaktlambid sisaldavad vähesel määral elavhõbedat.</li><li>Mingil määral on sul ju õiguski.</li><li>Plaan õnnestus täiel määral.</li></ul><li>millegi hulk või tase,hulk, kogus,tase<br><ul><li>Töötasu viidi vastavusse vastutuse määraga.</li><li>Joogi valitseb oma mõtteid sellise määrani, et tal neid enam ei olegi.</li><li>Töötuse määr on langenud.</li><li>Ma olen sinuga mingil määral nõus.</li></ul><li>millegi, hrl mingi tasu või maksu kindlaksmääratud suurus,mingi tasu või maksu kindlaks määratud suurus<br><ul><li>Omafinantseeringu määr.</li><li>Maamaksu määr.</li><li>Aktsiisimäär.</li><li>Pensionimäär.</li><li>Riikliku pensioni määr oleneb sellest, kui kaua sa oled töötanud.</li><li>Kehtestati uued toetuse määrad.</li></ul></ol>|<table><thead><tr><th></th><th>ainsus</th><th>mitmus</th></tr></thead><tbody><tr><td>nime</td><td>määr</td><td>määrad</td></tr><tr><td>omas</td><td>määra</td><td>määrade</td></tr><tr><td>osas</td><td>määra</td><td>määri,määrasid</td></tr><tr><td>lüh sütl</td><td>määra</td><td></td></tr></tbody></table>|<ol><li>степень, мера, <span style="opacity: 0.5294117647058824">объём</span>, <span style="opacity: 0.5294117647058824">количество</span>, <span style="opacity: 0.5294117647058824">партия</span></li><li>мера, размер, степень, <span style="opacity: 0.5294117647058824">ступень</span>, <span style="opacity: 0.5294117647058824">степень</span></li><li>ставка, тариф, норма, такса, <span style="opacity: 0.5294117647058824">объём</span></li></ol>
